start, end, work
1, 1, 1
1558879970094, 1558879971065, 971
1558879971031, 1558879971065, 34
1558879972022, 1558879972038, 16
1558879973061, 1558879973091, 30
1558879974026, 1558879974040, 14
1558879975051, 1558879975071, 20
1558879976021, 1558879976036, 15
1558879977052, 1558879977086, 34
1558879978025, 1558879978040, 15
1558879979024, 1558879979040, 16
1558879980044, 1558879980062, 18
1558879981054, 1558879981072, 18
1558879982045, 1558879982081, 36
1558879983023, 1558879983036, 13
1558879984020, 1558879984033, 13
1558879985037, 1558879985053, 16
1558879986042, 1558879986081, 39
1558879987018, 1558879987038, 20
1558879988022, 1558879988040, 18
1558879989036, 1558879989052, 16
1558879990050, 1558879990072, 22
1558880183023, 1558880183034, 11
1558880184017, 1558880184037, 20
1558880185027, 1558880185041, 14
1558880186038, 1558880186055, 17
1558880187034, 1558880187054, 20
1558880188031, 1558880188049, 18
1558880362020, 1558880362033, 13
1558880363019, 1558880363030, 11
1558880364037, 1558880364053, 16
1558880365044, 1558880365059, 15
1558880366035, 1558880366071, 36
1558880367032, 1558880367047, 15
1558880487061, 1558880487160, 99
2, 2, 2
1558880486115, 1558880487160, 1045
1558880488088, 1558880488125, 37
1558880489100, 1558880489125, 25
1558880490030, 1558880490049, 19
1558880491038, 1558880491056, 18
1558880492034, 1558880492065, 31
1558880493089, 1558880493125, 36
1558880494068, 1558880494112, 44
1558880495031, 1558880495048, 17
1558880496030, 1558880496046, 16
1558880497063, 1558880497087, 24
1558880498063, 1558880498110, 47
1558880499031, 1558880499050, 19
1558880500034, 1558880500054, 20
1558880501087, 1558880501120, 33
1558880502061, 1558880502096, 35
1558880503025, 1558880503039, 14
1558880504056, 1558880504075, 19

2, 2, 2
1558880998025, 1558880998043, 18
1558880999037, 1558880999052, 15
1558881000018, 1558881000034, 16
1558881001074, 1558881001093, 19
1558881002042, 1558881002080, 38
1558881003022, 1558881003035, 13
1558881004028, 1558881004040, 12
1558881005059, 1558881005079, 20
1558881006050, 1558881006102, 52
1558881007019, 1558881007035, 16
1558881008020, 1558881008030, 10
1558881009037, 1558881009060, 23
1558881010048, 1558881010087, 39
1558881011042, 1558881011071, 29
1558881012018, 1558881012032, 14
1558881013044, 1558881013059, 15
1558881014045, 1558881014073, 28
1558881015027, 1558881015037, 10
1558881016023, 1558881016037, 14
1558881017052, 1558881017066, 14
1558881018032, 1558881018059, 27

3, 3, 3
1558881155101, 1558881156113, 1012
1558881156108, 1558881156194, 86
1558881157070, 1558881157100, 30
1558881158053, 1558881158161, 108
1558881159122, 1558881159153, 31
1558881160137, 1558881160191, 54
1558881161073, 1558881161116, 43
1558881161073, 1558881161116, 43
1558881162052, 1558881162080, 28
1558881163050, 1558881163123, 73
1558881164143, 1558881164208, 65
1558881165024, 1558881165054, 30
1558881166032, 1558881166049, 17
1558881167094, 1558881167139, 45
1558881168097, 1558881168168, 71
1558881169027, 1558881169047, 20
1558881170038, 1558881170133, 95
1558881171102, 1558881171148, 46
1558881172075, 1558881172118, 43
1558881173038, 1558881173066, 28
1558881174053, 1558881174071, 18
1558881175077, 1558881175126, 49
1558881176067, 1558881176099, 32
1558881177049, 1558881177062, 13
1558881178025, 1558881178063, 38
1558881179074, 1558881179122, 48
1558881180079, 1558881180113, 34
1558881181021, 1558881181039, 18
1558881182075, 1558881182088, 13

1558881183024, 1558881183074, 50
1558881184086, 1558881184129, 43
1558881185023, 1558881185043, 20
1558881186038, 1558881186540, 502
1558881324062, 1558881324557, 495
1558881325052, 1558881325071, 19
1558881326020, 1558881326037, 17
1558881327032, 1558881327060, 28
1558881328068, 1558881328095, 27
1558881329024, 1558881329039, 15
1558881330065, 1558881330102, 37
1558881331022, 1558881331040, 18
1558881332057, 1558881332088, 31
1558881333024, 1558881333041, 17
1558881334022, 1558881334114, 92
1558881335028, 1558881335055, 27
1558881336147, 1558881336194, 47
1558881337021, 1558881337046, 25
1558881338020, 1558881338063, 43
1558881339080, 1558881339102, 22
1558881340050, 1558881340062, 12
1558881341015, 1558881341032, 17
1558881342028, 1558881342526, 498

4, 4, 4
1558881795120, 1558881795628, 508
1558881796061, 1558881796103, 42
1558881797065, 1558881797119, 54
1558881798021, 1558881798045, 24
1558881799079, 1558881799097, 18
1558881800042, 1558881800062, 20
1558881801044, 1558881801059, 15
1558881802023, 1558881802041, 18
1558881803072, 1558881803091, 19
1558881804057, 1558881804106, 49
1558881805034, 1558881805048, 14
1558881806040, 1558881806056, 16
1558881807038, 1558881807057, 19
1558881808023, 1558881808037, 14
1558881809022, 1558881809039, 17
1558881810032, 1558881810049, 17
1558881811038, 1558881811061, 23
1558881812049, 1558881812094, 45
1558881813026, 1558881813043, 17
1558881814022, 1558881814035, 13
1558881815049, 1558881815070, 21
1558881816020, 1558881816032, 12
1558881817020, 1558881817034, 14
1558881818022, 1558881818036, 14
1558881819036, 1558881819052, 16
1558881820026, 1558881820038, 12
1558881821020, 1558881821037, 17
1558881822039, 1558881822053, 14
1558881823039, 1558881823057, 18
1558881824042, 1558881824078, 36
1558881825043, 1558881825068, 25
1558881826038, 1558881826070, 32
1558948077075, 1558948078018, 943
1558948078034, 1558948078053, 19
1558948079087, 1558948079585, 498
1558948080089, 1558948080599, 510
1558948220111, 1558948221119, 1008
1558948221101, 1558948221612, 511
1558948223028, 1558948223050, 22
1558948224035, 1558948224051, 16
1558948225053, 1558948225564, 511
2019-05-27T12:14:46.915+03:00
2019-05-27T12:16:13.541+03:00
1558948707028, 1558948707538, 510
