start, end, work
1558879973090, 1558879973118, 28
1558879977062, 1558879977096, 34
1558879981065, 1558879981090, 25
1558879985042, 1558879985058, 16
1558879989042, 1558879989057, 15
1558880185031, 1558880185044, 13
1558880189039, 1558880189068, 29
1558880365050, 1558880365064, 14
1558880369047, 1558880369059, 12
1558880489126, 1558880489162, 36
1558880493088, 1558880493116, 28
1558880497070, 1558880497106, 36
1558880501075, 1558880501108, 33
1558880505093, 1558880505146, 53

2, 2, 2
1558881001074, 1558881001093, 19
1558881005060, 1558881005077, 17
1558881009038, 1558881009059, 21
1558881013042, 1558881013056, 14
1558881017054, 1558881017071, 17
1558881021028, 1558881021040, 12

3, 3, 3
1558881156191, 1558881156256, 65
1558881160140, 1558881160218, 78
1558881164178, 1558881164261, 83
1558881168091, 1558881168159, 68
1558881172075, 1558881172120, 45
1558881176072, 1558881176112, 40
1558881180106, 1558881180129, 23
1558881184090, 1558881184153, 63
1558881188151, 1558881188184, 33
1558881324066, 1558881324086, 20
1558881328069, 1558881328100, 31
1558881332060, 1558881332098, 38
1558881336177, 1558881336228, 51
1558881340074, 1558881340127, 53
1558881344080, 1558881344118, 38

4, 4, 4
1558881795133, 1558881795602, 469
1558881799072, 1558881799099, 27
1558881803072, 1558881803092, 20
1558881807044, 1558881807067, 23
1558881811043, 1558881811558, 515
1558881815049, 1558881815069, 20
1558881819037, 1558881819067, 30
1558881823036, 1558881823547, 511
1558881827041, 1558881827062, 21
1558948079088, 1558948079119, 31
1558948221133, 1558948221186, 53
1558948225057, 1558948225092, 35
1558948394237, 1558948395144, 907
2019-05-27T12:14:46.979+03:00
2019-05-27T12:16:13.603+03:00
